Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
12630,CA-2017-645342,05/24/2017,05/26/2017,Same Day,CP-12340,United States,San Antonio,Texas,78207,--,FUR-TA-10002533,Furni,Tables,BPI Conference Tables,1612.0246,12,0.5,448.95
12631,CA-2014-361231,09/02/2014,09/06/2014,Second Class,FH-14275,United States,Conroe,Texas,77301,--,OFF-AR-10003183,OfficeSupply,Art,Avery Fluorescent Highlighter Four-Color Set,376.285,9,0.1,25.6197
12632,CA-2016-153029,04/03/2016,04/09/2016,Standard Class,BP-11185,United States,Middletown,Connecticut,6457,East,FUR-FU-10001025,Furni,Furnishings,"Eldon Imàge Series Desk Accessories, Clear",0.01,1,0.32,0.0001
12633,CA-2015-545159,02/07/2016,02/08/2016,First Class,JL-15835,United States,Hempstead,New York,11550,East,OFF-EN-10002312,OfficeSupply,Envelopes,#10 Self-Seal White Envelopes,1062.3778,2,0.7,-207.3902
12634,US-2015-509281,10/20/2014,10/24/2014,First Class,TT-21460,United States,Omaha,Nebraska,68104,Central,OFF-EN-10001415,OfficeSupply,Envelopes,Staple envelope,363.304,2,,134.0094
12635,CA-2015-601040,04/06/2016,04/11/2016,First Class,GZ-14545,United States,Rock Hill,South Carolina,29730,South,OFF-ST-10000585,OfficeSupply,Storage,Economy Rollaway Files,979.8095,2,0.4,-274.4435
12636,CA-2017-790792,10/25/2015,10/25/2015,Same Day,BM-11650,United States,Troy,Ohio,45373,East,FUR-BO-10002598,Furni,Bookcases,"Hon Metal Bookcases, Putty",235.802,10,0.15,-24.56
12637,US-2015-348083,09/30/2015,10/07/2015,Second Class,GM-14455,United States,Los Angeles,California,90004,West,OFF-ST-10003994,OfficeSupply,Storage,"Belkin 19"" Center-Weighted Shelf, Gray",910.7516,4,0.2,-172.4269
12638,CA-2017-325642,01/29/2015,02/02/2015,Standard Class,RW-19630,United States,Saint Paul,Minnesota,55106,Central,OFF-PA-10004610,OfficeSupply,Paper,Xerox 1900,264.2695,3,0.7,-54.4739
12639,US-2015-531092,05/24/2014,05/30/2014,Same Day,VT-21700,United States,Vacaville,California,95687,West,OFF-PA-10001204,OfficeSupply,Paper,Xerox 1972,0.01,8,0.2,0.0024
12640,CA-2014-924979,09/26/2017,10/02/2017,Standard Class,MV-18190,United States,Shelton,Connecticut,6484,East,FUR-CH-10003746,Furni,Chairs,Hon 4070 Series Pagoda Round Back Stacking Chairs,826.3915,7,0.2,-26.20
12641,US-2014-535269,12/18/2016,12/24/2016,Standard Class,MA-17995,United States,Edmonds,Washington,98026,West,OFF-PA-10000740,OfficeSupply,Paper,Xerox 1982,784.5747,10,0.6,-249.5097
12642,US-2016-117675,08/20/2015,08/22/2015,Same Day,MH-18025,United States,Oak Park,Illinois,60302,Central,OFF-LA-10004409,OfficeSupply,Labels,Avery 492,1415.8726,8,0.1,-76.35
12643,CA-2014-655922,04/09/2016,04/13/2016,First Class,KC-16675,United States,Concord,North Carolina,28027,South,TEC-AC-10001606,Tech,Accessories,Logitech Wireless Performance Mouse MX for PC and Mac,133.4795,6,0.5,-11.73
12644,CA-2016-732919,01/23/2015,01/26/2015,Same Day,JS-15940,United States,Baytown,Texas,77520,Central,OFF-PA-10003441,OfficeSupply,Paper,Xerox 226,559.7156,4,0.1,40.9675
12645,CA-2016-792084,02/07/2016,02/09/2016,First Class,KH-16330,United States,Lakeland,Florida,33801,South,TEC-AC-10003657,technologies,Accessories,Lenovo 17-Key USB Numeric Keypad,0.01,14,0.6,-0.0026
12646,US-2016-297162,09/01/2017,09/04/2017,Standard Class,SN-20710,United States,Margate,Florida,33063,South,TEC-AC-10001539,technologies,Accessories,Logitech G430 Surround Sound Gaming Headset with Dolby 7.1 Technology,818.5144,1,0.15,-70.302
12647,CA-2016-741546,02/01/2014,02/05/2014,First Class,DB-12910,United States,New York City,New York,10024,East,OFF-AP-10001391,OfficeSupply,Appliances,Kensington 6 Outlet MasterPiece HOMEOFFICE Power Control Center,0.01,4,0.3,-0.005
12648,CA-2015-791954,12/29/2015,01/02/2016,Same Day,LW-17125,United States,Wilmington,Delaware,19805,East,OFF-PA-10002709,OfficeSupply,Paper,Xerox 1956,428.0225,7,0.45,
12649,CA-2017-991137,06/11/2015,06/15/2015,Second Class,TD-20995,United States,Independence,Missouri,64055,Central,OFF-AP-10003040,OfficeSupply,Appliances,Fellowes 8 Outlet Superior Workstation Surge Protector w/o Phone/Fax/Modem Protection,0.01,2,0.5,-0.0038
12650,CA-2017-274346,03/19/2015,03/21/2015,Standard Class,JO-15550,United States,New York City,New York,10035,East,TEC-PH-10002170,Tech,Phones,ClearSounds CSC500 Amplified Spirit Phone Corded phone,0.01,13,0.1,0.0045
12651,CA-2016-837041,03/25/2016,04/01/2016,First Class,PK-18910,United States,Oceanside,New York,11572,East,OFF-PA-10003063,OfficeSupply,Paper,EcoTones Memo Sheets,1289.1036,13,,-389.962
12652,CA-2017-741373,01/29/2015,02/05/2015,Second Class,DC-12850,United States,Watertown,New York,13601,East,FUR-FU-10001706,Furni,Furnishings,Longer-Life Soft White Bulbs,332.2505,10,0.15,
12653,CA-2016-128683,03/20/2015,03/26/2015,Standard Class,CK-12760,United States,New Brunswick,New Jersey,8901,East,OFF-SU-10002557,OfficeSupply,Supplies,Fiskars Spring-Action Scissors,0.01,1,0.8,
12654,US-2014-523642,09/27/2014,10/02/2014,First Class,ML-17410,United States,Seattle,Washington,98105,West,FUR-BO-10001972,Furni,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,560.3425,11,0.2,212.3192
12655,US-2017-429604,08/29/2014,09/01/2014,Same Day,RR-19525,United States,Rockford,Illinois,61107,Central,OFF-PA-10003001,OfficeSupply,Paper,Xerox 1986,585.4243,6,0.7,-210.1643
12656,CA-2014-448392,07/02/2016,07/09/2016,Standard Class,PS-18970,United States,Athens,Georgia,30605,South,TEC-AC-10003441,Tech,Accessories,Kingston Digital DataTraveler 32GB USB 2.0,0.01,12,0.32,-0.0003
12657,CA-2015-682200,03/25/2017,03/26/2017,Standard Class,DA-13450,United States,Roseville,California,95661,West,OFF-EN-10004007,OfficeSupply,Envelopes,Park Ridge Embossed Executive Business Envelopes,1298.6381,4,0.32,-645.5763
12658,US-2017-657998,04/09/2014,04/11/2014,Second Class,CD-12790,United States,Wilmington,North Carolina,28403,South,OFF-PA-10000528,OfficeSupply,Paper,Xerox 1981,589.1397,1,0.7,-328.9084
12659,US-2016-717610,02/18/2015,02/23/2015,Same Day,BD-11605,United States,Bozeman,Montana,59715,West,OFF-PA-10004965,OfficeSupply,Paper,Xerox 1921,760.6845,10,,-144.7582
12660,US-2015-207996,05/03/2017,05/07/2017,Same Day,AO-10810,United States,Englewood,Colorado,80112,West,FUR-FU-10002364,Furni,Furnishings,"Eldon Expressions Wood Desk Accessories, Oak",72.1337,4,0.4,-13.1635
12661,US-2015-791231,03/12/2014,03/16/2014,Second Class,AF-10870,United States,Torrance,California,90503,West,TEC-AC-10000397,technologies,Accessories,"Perixx PERIBOARD-512B, Ergonomic Split Keyboard",1215.6101,2,0.2,83.2925
12662,US-2017-733034,10/07/2015,10/07/2015,Same Day,RB-19360,United States,Jackson,Mississippi,39212,South,OFF-PA-10002659,OfficeSupply,Paper,Avoid Verbal Orders Carbonless Minifold Book,965.864,4,0.15,197.5241
12663,US-2014-147435,10/15/2014,10/18/2014,Second Class,KT-16480,United States,Mansfield,Texas,76063,Central,TEC-PH-10001530,Tech,Phones,Cisco Unified IP Phone 7945G VoIP phone,0.01,3,0.8,-0.0069
12664,CA-2016-109127,04/15/2015,04/18/2015,Second Class,BV-11245,United States,Logan,Utah,84321,West,OFF-AP-10003622,OfficeSupply,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",1112.6376,7,0.45,-377.1019
12665,CA-2016-880310,01/11/2014,01/14/2014,Same Day,AJ-10780,United States,San Jose,California,95123,,FUR-FU-10001591,Furni,Furnishings,Advantus Panel Wall Certificate Holder - 8.5x11,744.8402,13,0.32,26.8684
12666,US-2017-961523,06/15/2015,06/19/2015,First Class,PW-19030,United States,Elmhurst,Illinois,60126,,TEC-AC-10002402,technologies,Accessories,Razer Kraken PRO Over Ear PC and Music Headset,0.01,8,0.7,-0.0007
12667,CA-2015-165727,12/09/2014,12/09/2014,First Class,CL-12700,United States,Lewiston,Idaho,83501,West,FUR-TA-10001539,Furni,Tables,Chromcraft Rectangular Conference Tables,858.5326,11,,-217.0329
12668,US-2016-597895,07/08/2016,07/09/2016,Second Class,HK-14890,United States,Hackensack,New Jersey,7601,East,FUR-FU-10004864,Furni,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",455.2437,4,0.32,132.315
12669,CA-2015-689568,11/30/2017,11/30/2017,Same Day,KM-16225,United States,Lorain,Ohio,44052,,TEC-PH-10003437,Tech,Phones,Blue Parrot B250XT Professional Grade Wireless Bluetooth Headset with,426.9002,7,0.2,132.9409
12670,US-2014-895048,07/25/2014,07/25/2014,Second Class,KD-16495,United States,Lawton,Oklahoma,73505,Central,OFF-LA-10003190,OfficeSupply,Labels,Avery 474,0.01,3,0.4,-0.00
12671,US-2016-981654,05/07/2014,05/11/2014,Same Day,EB-13870,United States,Los Angeles,California,90004,,OFF-ST-10001097,OfficeSupply,Storage,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,0.01,5,0.15,0.0025
12672,US-2017-597673,09/18/2015,09/24/2015,First Class,PB-19210,United States,La Mesa,California,91941,,OFF-PA-10004735,OfficeSupply,Paper,Xerox 1905,1135.3011,4,0.4,-254.8294
12673,CA-2016-644689,07/24/2014,07/28/2014,Second Class,TB-21190,United States,York,Pennsylvania,17403,East,OFF-PA-10003177,OfficeSupply,Paper,Xerox 1999,574.3072,3,0.2,
12674,CA-2014-881980,11/04/2014,11/04/2014,Standard Class,SC-20575,United States,Boise,Idaho,83704,West,TEC-PH-10001809,Tech,Phones,Panasonic KX T7736-B Digital phone,396.678,8,0.45,-117.5904
12675,CA-2014-376048,12/19/2017,12/25/2017,Same Day,DJ-13630,United States,Corpus Christi,Texas,78415,Central,OFF-FA-10000304,OfficeSupply,Fasteners,Advantus Push Pins,473.03,1,0.1,96.2848
12676,US-2017-369803,06/04/2014,06/09/2014,Standard Class,CP-12340,United States,Johnson City,Tennessee,37604,South,OFF-PA-10000141,OfficeSupply,Paper,"Ampad Evidence Wirebond Steno Books, 6"" x 9""",783.334,3,0.15,
12677,CA-2017-701508,02/12/2017,02/13/2017,Second Class,AP-10720,United States,Los Angeles,California,90008,West,OFF-BI-10004209,OfficeSupply,Binders,"Fellowes Twister Kit, Gray/Clear, 3/pkg",649.7087,4,0.1,83.61
12678,US-2016-187375,06/17/2016,06/20/2016,First Class,SG-20080,United States,Des Plaines,Illinois,60016,Central,FUR-FU-10004071,Furni,Furnishings,Luxo Professional Magnifying Clamp-On Fluorescent Lamps,0.01,6,0.2,-0.0002
12679,CA-2017-379184,10/11/2016,10/14/2016,Second Class,SM-20905,United States,Cranston,Rhode Island,2920,East,TEC-PH-10003535,technologies,Phones,RCA ViSYS 25423RE1 Corded phone,1171.5667,6,0.6,-288.5486
12680,US-2016-551058,11/04/2017,11/08/2017,Same Day,HM-14860,United States,Waterloo,Iowa,50701,Central,OFF-PA-10000176,OfficeSupply,Paper,Xerox 1887,614.0355,11,0.7,-235.6399
12681,CA-2015-396128,12/12/2016,12/18/2016,Standard Class,SV-20815,United States,Sterling Heights,Michigan,48310,Central,OFF-LA-10001158,OfficeSupply,Labels,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",458.9501,8,0.5,-131.9609
12682,CA-2016-749699,08/27/2016,08/31/2016,First Class,DP-13165,United States,Tamarac,Florida,33319,South,OFF-EN-10002592,OfficeSupply,Envelopes,"Peel & Seel Recycled Catalog Envelopes, Brown",0.01,7,0.45,0.00
12683,CA-2014-356895,07/17/2016,07/20/2016,Standard Class,JP-15460,United States,Garden City,Kansas,67846,Central,OFF-AR-10003478,OfficeSupply,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",737.2224,14,0.6,-143.3858
12684,US-2016-474290,09/13/2017,09/20/2017,Second Class,JS-15685,United States,El Paso,Texas,79907,Central,OFF-AR-10001683,OfficeSupply,Art,Lumber Crayons,0.01,14,0.15,0.0048
12685,US-2017-335641,09/12/2017,09/13/2017,Second Class,BS-11365,United States,Murfreesboro,Tennessee,37130,South,OFF-ST-10000344,OfficeSupply,Storage,"Neat Ideas Personal Hanging Folder Files, Black",0.01,9,0.7,-0.0042
12686,US-2017-236275,02/25/2017,02/25/2017,Standard Class,RW-19690,United States,Danville,Illinois,61832,Central,OFF-BI-10004965,OfficeSupply,Binders,Ibico Covers for Plastic or Wire Binding Elements,0.01,14,0.0,0.003
12687,US-2014-431069,02/03/2014,02/05/2014,First Class,ND-18460,United States,Danville,California,94526,West,OFF-AR-10004707,OfficeSupply,Art,Staples in misc. colors,0.01,7,0.3,-0.0021
12688,CA-2014-769290,07/13/2014,07/17/2014,Same Day,BT-11680,United States,Garden City,Kansas,67846,Central,TEC-PH-10001615,technologies,Phones,AT&T CL82213,734.5952,10,,-21.7776
12689,US-2017-448702,03/27/2015,03/30/2015,Same Day,MH-17785,United States,Auburn,Alabama,36830,South,OFF-PA-10000501,OfficeSupply,Paper,Petty Cash Envelope,0.01,4,0.8,-0.0071
12690,US-2015-265821,08/30/2016,09/05/2016,Standard Class,PO-19195,United States,Murfreesboro,Tennessee,37130,South,OFF-BI-10002897,OfficeSupply,Binders,"Black Avery Memo-Size 3-Ring Binder, 5 1/2"" x 8 1/2""",0.01,14,0.1,0.0013
12691,CA-2014-811365,12/03/2015,12/06/2015,Standard Class,LC-17140,United States,Milford,Connecticut,6460,East,OFF-AR-10002671,OfficeSupply,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",0.01,12,0.8,-0.0045
12692,US-2014-569035,10/14/2016,10/21/2016,Standard Class,LH-17020,United States,Homestead,Florida,33030,South,OFF-EN-10002973,OfficeSupply,Envelopes,Ampad #10 Peel & Seel Holiday Envelopes,0.01,2,0.2,0.0034
12693,CA-2015-301503,10/18/2014,10/22/2014,Same Day,NS-18505,United States,Redwood City,California,94061,West,OFF-PA-10000565,OfficeSupply,Paper,Easy-staple paper,0.01,9,0.3,0.0007
12694,US-2016-442354,06/19/2016,06/23/2016,Second Class,JR-15670,United States,Rochester,Minnesota,55901,Central,OFF-EN-10002504,OfficeSupply,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",0.01,11,0.7,0.0001
12695,US-2015-738242,03/19/2014,03/23/2014,First Class,VP-21760,United States,Oceanside,New York,11572,East,FUR-BO-10000112,Furni,Bookcases,"Bush Birmingham Collection Bookcase, Dark Cherry",1554.2362,14,0.45,-505.0588
12696,US-2015-389403,04/19/2016,04/19/2016,Same Day,MP-17965,United States,Waterbury,Connecticut,6708,East,TEC-PH-10004080,Tech,Phones,Avaya 5410 Digital phone,0.01,8,0.5,-0.00
12697,CA-2014-882884,02/10/2015,02/17/2015,Same Day,DM-13525,United States,Torrance,California,90503,West,OFF-SU-10004498,OfficeSupply,Supplies,Martin-Yale Premier Letter Opener,161.0844,8,0.2,61.78
12698,CA-2015-308290,04/07/2014,04/08/2014,Second Class,PB-19210,United States,Eagan,Minnesota,55122,Central,TEC-AC-10001284,technologies,Accessories,Enermax Briskie RF Wireless Keyboard and Mouse Combo,0.01,11,0.5,-0.0041
12699,CA-2017-261506,04/19/2014,04/21/2014,First Class,FA-14230,United States,Atlanta,Georgia,30318,South,OFF-PA-10000556,OfficeSupply,Paper,Xerox 208,0.0,1,0.7,0.0
12700,US-2017-861181,02/14/2016,02/19/2016,Standard Class,SC-20575,United States,Deer Park,Texas,77536,Central,OFF-SU-10004231,OfficeSupply,Supplies,Acme Tagit Stainless Steel Antibacterial Scissors,0.01,4,0.8,-0.0033
12701,US-2015-409359,05/02/2014,05/05/2014,Same Day,DW-13585,United States,Port Saint Lucie,Florida,34952,South,OFF-AP-10000159,OfficeSupply,Appliances,Belkin F9M820V08 8 Outlet Surge,0.01,4,0.5,-0.0009
12702,CA-2016-321897,03/14/2015,03/19/2015,Standard Class,DW-13480,United States,Dallas,Texas,75217,Central,OFF-AR-10004685,OfficeSupply,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",907.0868,7,0.45,80.3265
12703,CA-2015-286553,02/26/2014,02/26/2014,Standard Class,GA-14515,United States,Tamarac,Florida,33319,South,OFF-PA-10000474,OfficeSupply,Paper,Easy-staple paper,0.01,5,0.4,-0.0005
12704,CA-2016-500575,02/19/2016,02/22/2016,Standard Class,DL-12925,United States,Bolingbrook,Illinois,60440,Central,OFF-PA-10002960,OfficeSupply,Paper,Xerox 1926,51.6432,11,0.7,-37.6734
12705,CA-2014-814057,12/19/2016,12/26/2016,Standard Class,NC-18625,United States,West Palm Beach,Florida,33407,South,OFF-BI-10002799,OfficeSupply,Binders,"SlimView Poly Binder, 3/8""",177.041,7,0.8,-114.5451
12706,CA-2016-137567,01/08/2016,01/14/2016,First Class,AH-10210,United States,Lindenhurst,New York,11757,East,OFF-BI-10001308,OfficeSupply,Binders,GBC Standard Plastic Binding Systems' Combs,471.5213,11,0.5,-28.5661
12707,US-2017-449905,02/27/2014,03/04/2014,Second Class,BT-11485,United States,Loveland,Colorado,80538,West,OFF-FA-10000936,OfficeSupply,Fasteners,Acco Hot Clips Clips to Go,1298.9593,2,0.6,-567.96
12708,CA-2017-239730,09/21/2015,09/28/2015,Same Day,MA-17560,United States,Paterson,New Jersey,7501,East,OFF-AR-10001446,OfficeSupply,Art,Newell 309,275.8244,1,0.8,-132.9219
12709,US-2016-226715,11/12/2014,11/14/2014,Same Day,AJ-10795,United States,Philadelphia,Pennsylvania,19134,East,TEC-AC-10000487,Tech,Accessories,SanDisk Cruzer 4 GB USB Flash Drive,0.01,10,0.0,0.0038
12710,CA-2016-296343,11/08/2015,11/08/2015,Second Class,LP-17095,United States,Bellevue,Washington,98006,West,TEC-PH-10003589,Tech,Phones,invisibleSHIELD by ZAGG Smudge-Free Screen Protector,0.01,13,0.1,0.0023
12711,US-2015-589597,07/12/2016,07/14/2016,Standard Class,PT-19090,United States,Apple Valley,California,92307,West,OFF-FA-10000490,OfficeSupply,Fasteners,"OIC Binder Clips, Mini, 1/4"" Capacity, Black",249.3629,4,0.6,-62.7485
12712,US-2014-123007,02/23/2015,03/01/2015,Standard Class,ML-17410,United States,Harlingen,Texas,78550,Central,TEC-PH-10001700,technologies,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,305.1376,13,0.2,17.5767
12713,CA-2014-767503,11/03/2014,11/10/2014,First Class,PO-18865,United States,Moreno Valley,California,92553,West,OFF-FA-10000621,OfficeSupply,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",0.01,4,,0.0004
12714,US-2014-299260,12/22/2017,12/28/2017,Second Class,SA-20830,United States,Gresham,Oregon,97030,West,OFF-AR-10002135,OfficeSupply,Art,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,649.5621,2,0.45,-99.149
12715,US-2017-286088,03/02/2015,03/08/2015,First Class,TS-21340,United States,Roswell,Georgia,30076,South,TEC-PH-10003437,technologies,Phones,Blue Parrot B250XT Professional Grade Wireless Bluetooth Headset with,0.01,2,0.45,-0.00
12716,CA-2017-932388,11/20/2015,11/25/2015,Same Day,JK-15325,United States,Saint Charles,Illinois,60174,Central,FUR-BO-10003966,Furni,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",562.1408,3,0.6,-475.0863
12717,US-2015-396647,06/10/2016,06/11/2016,Same Day,AH-10075,United States,Great Falls,Montana,59405,West,FUR-CH-10001394,Furni,Chairs,Global Leather Executive Chair,0.01,5,0.5,-0.0022
12718,CA-2015-569422,01/17/2015,01/19/2015,First Class,JM-15250,United States,Columbus,Indiana,47201,Central,TEC-AC-10002600,technologies,Accessories,Belkin QODE FastFit Bluetooth Keyboard,925.0912,2,0.8,-670.255
12719,CA-2016-833068,09/08/2017,09/13/2017,Same Day,DJ-13510,United States,Atlantic City,New Jersey,8401,,TEC-PH-10002680,technologies,Phones,Samsung Galaxy Note 3,125.5818,6,0.45,-42.5506
12720,US-2015-656358,06/29/2017,06/29/2017,First Class,MG-17875,United States,Oklahoma City,Oklahoma,73120,Central,FUR-CH-10004495,Furni,Chairs,"Global Leather and Oak Executive Chair, Black",677.7288,9,0.4,-191.706
12721,US-2017-109802,03/31/2016,04/04/2016,Standard Class,CV-12805,United States,Murray,Utah,84107,West,OFF-AP-10000124,OfficeSupply,Appliances,Acco 6 Outlet Guardian Basic Surge Suppressor,0.01,1,0.4,-0.003
12722,CA-2017-751953,04/15/2016,04/20/2016,Second Class,DB-13060,United States,West Palm Beach,Florida,33407,South,FUR-BO-10000468,Furni,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,779.7422,12,0.0,152.0175
12723,US-2015-608266,02/12/2017,02/17/2017,Second Class,BS-11380,United States,Garland,Texas,75043,Central,OFF-FA-10000585,OfficeSupply,Fasteners,OIC Bulk Pack Metal Binder Clips,0.01,12,0.1,0.0031
12724,US-2015-172483,05/18/2016,05/19/2016,Same Day,CM-12190,United States,Frisco,Texas,75034,Central,OFF-AP-10004487,OfficeSupply,Appliances,Kensington 4 Outlet MasterPiece Compact Power Control Center,517.4108,13,0.32,-251.1651
12725,CA-2016-491874,04/23/2017,04/29/2017,First Class,AG-10525,United States,Orem,Utah,84057,West,OFF-EN-10003055,OfficeSupply,Envelopes,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",0.01,5,0.7,-0.0066
12726,CA-2014-176638,04/21/2017,04/23/2017,Second Class,MS-17770,United States,Mobile,Alabama,36608,South,TEC-MA-10002178,Tech,Machines,Cisco CP-7937G Unified IP Conference Station Phone,0.01,9,0.15,0.0015
12727,US-2015-705965,08/26/2017,08/28/2017,Second Class,MC-17275,United States,Portage,Indiana,46368,Central,TEC-PH-10002398,technologies,Phones,AT&T 1070 Corded Phone,996.7138,14,0.15,-191.6161
12728,US-2015-758117,10/18/2017,10/22/2017,Standard Class,AS-10225,United States,Lowell,Massachusetts,1852,East,TEC-PH-10001336,technologies,Phones,Digium D40 VoIP phone,645.931,4,0.6,-55.9375
12729,US-2014-968836,06/24/2016,07/01/2016,First Class,NM-18520,United States,Colorado Springs,Colorado,80906,West,FUR-TA-10004256,Furni,Tables,Bretford Just In Time Height-Adjustable Multi-Task Work Tables,0.01,1,0.8,-0.0045
12730,US-2014-808868,10/27/2016,11/02/2016,Standard Class,CS-12250,United States,Bozeman,Montana,59715,West,TEC-PH-10000215,Tech,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,0.01,8,0.15,0.0019
12731,CA-2017-641452,03/16/2017,03/23/2017,First Class,TC-20980,United States,Chester,Pennsylvania,19013,East,OFF-ST-10000464,OfficeSupply,Storage,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",1044.4921,11,0.3,-267.5546
12732,CA-2017-310405,10/23/2014,10/29/2014,First Class,CW-11905,United States,Haltom City,Texas,76117,Central,OFF-LA-10003923,OfficeSupply,Labels,Alphabetical Labels for Top Tab Filing,175.5502,10,0.15,41.1426
12733,US-2017-701799,09/19/2017,09/20/2017,Standard Class,CC-12145,United States,Florence,Kentucky,41042,South,TEC-PH-10000213,Tech,Phones,Seidio BD2-HK3IPH5-BK DILEX Case and Holster Combo for Apple iPhone 5/5s - Black,894.2169,14,,-700.5777
12734,CA-2016-645287,09/16/2016,09/19/2016,Same Day,PC-18745,United States,Seattle,Washington,98105,--,TEC-PH-10003437,technologies,Phones,Blue Parrot B250XT Professional Grade Wireless Bluetooth Headset with,0.01,8,0.15,0.0011
12735,CA-2017-752624,10/03/2015,10/06/2015,Same Day,HE-14800,United States,York,Pennsylvania,17403,East,OFF-PA-10001295,OfficeSupply,Paper,Computer Printout Paper with Letter-Trim Perforations,868.1585,10,0.6,-217.9246
12736,CA-2017-648288,07/29/2017,07/31/2017,Second Class,KB-16240,United States,San Diego,California,92037,West,TEC-MA-10004521,Tech,Machines,Epson Perfection V600 Photo Scanner,0.01,4,0.6,-0.00
12737,CA-2015-927932,04/22/2016,04/27/2016,Standard Class,LO-17170,United States,Yonkers,New York,10701,East,OFF-BI-10001900,OfficeSupply,Binders,"DXL Angle-View Binders with Locking Rings, Black",26.6025,12,0.1,10.4819
12738,US-2014-506951,06/13/2014,06/14/2014,Standard Class,MO-17500,United States,Coachella,California,92236,West,OFF-PA-10000807,OfficeSupply,Paper,"TOPS ""Important Message"" Pads, Canary, 4-1/4 x 5-1/2, 50 Sheets per Pad",550.9356,3,0.6,-188.2361
